#separator:Comma
#html:true
#columns:Front,Back,Tags
#tags column:3
"【母卡1】这个项目为什么值得做，你的ownership和业务采用如何证明？","<b>结论：</b>同时证明问题真实、方案由我推动、结果可量化、业务持续采用。<br><b>30秒：</b>项目解决广告收入异常定位慢、口径不一和无法实时响应。我负责流程拆解、归因框架、Skill编排、RAG、Eval与产品化，后端负责MCP和取数代码。T+1报告由2-3天缩短到分钟级，每周释放约14小时；采用还要看长期留存、人工采纳率和定位时长下降，不能只看调用量。<br><b>易错：</b>不夸大代码ownership，不把使用率等同采用率。","核心 母卡 业务价值 项目表达 Q6 Q10 Q20 Q21"
"【母卡2】广告收入如何归因，贡献和因果如何区分？","<b>结论：</b>先用确定性公式和反事实分解解释贡献，满足识别条件后才谈因果。<br><b>30秒：</b>收入先拆为曝光乘eCPM，曝光沿请求到有效曝光漏斗定位；eCPM按计费模式拆pCTR、pCVR、出价、计价率和行业结构。贡献率由代码通过LMDI、Shapley或冻结变量的反事实计算，不由LLM心算。多因素变化时输出贡献排序和不确定性；没有实验、准实验或明确单路径证据，只能说相关贡献。<br><b>易错：</b>不能把单一eCPM公式套用所有广告。","核心 母卡 指标 归因 因果 异常检测 Q1 Q2 Q11 Q25"
"【母卡3】LLM、Tool、Skill、MCP如何划分，单Agent还是多Agent？","<b>结论：</b>LLM负责理解、规划和表达；工具负责鉴权、取数和计算；Skill固化流程；MCP提供标准工具协议。<br><b>30秒：</b>LLM处理意图、不确定证据和解释，SQL、指标计算、贡献分解、权限及校验由代码完成。当前采用单Orchestrator加确定性工具和独立Judge，不把查询、计算和RAG都包装成Agent；只有模块具有独立目标、状态、权限和扩缩容需求时才拆分。<br><b>易错：</b>Prompt是软约束，多Agent也不天然降低幻觉。","核心 母卡 架构 LLM Tool Skill MCP 多Agent Q3 Q9 Q23 Q26"
"【母卡4】RAG、当前数据和业务规则冲突时怎么办？","<b>结论：</b>当前可验证数据优先于历史经验，RAG只能补充解释，不能创造或覆盖事实。<br><b>30秒：</b>知识分为强治理的指标口径、业务规则和仅供参考的历史案例。系统先基于当前工具数据形成候选结论，再检索RAG补充背景；优先级是当前事实、确定性计算、有效规则、历史案例。每条知识需有来源、版本、范围、有效期和Owner；口径冲突先统一字段、单位、粒度和版本，无法消解时降级。<br><b>易错：</b>语义相似不等于可以复用历史结论。","核心 母卡 RAG 数据治理 口径 知识库 Q4 Q15 Q16 Q17"
"【母卡5】Agent Eval、标注真值和数据飞轮如何设计？","<b>结论：</b>用冻结输入、证据化标签和分层指标评测；线上反馈只能进入候选池。<br><b>30秒：</b>评测集冻结问题、数据快照、工具期望、标准归因、关键证据和rubric，覆盖主因、长尾、缺数、冲突及安全case。真值采用双标、仲裁和后验事实验证。指标分链路成功率、数据正确率、一级二级归因、证据充分率、完整率、耗时与采纳。日志和反馈需清洗、脱敏、审核后再进入知识库、回归集或SFT。<br><b>易错：</b>Eval能发现和防回归，但不会自动修复流程。","核心 母卡 Eval 真值 数据飞轮 灰度 Q7 Q8 Q22 Q24"
"【母卡6】Judge如何校验，线上错误如何定位？","<b>结论：</b>依靠结构化校验和端到端Trace，Judge只是补充校验器。<br><b>30秒：</b>每次任务记录task_id、数据快照和版本、Prompt/Skill/Tool/模型版本、工具参数与返回、中间计算、RAG引用、分支选择、证据ID和Judge结果。错判时按结论反查证据、证据反查执行链，定位数据、工具、编排、推理或知识污染层。修复后跑原case、邻近反事实、全量回归和影子流量。<br><b>易错：</b>另一模型做Judge不代表天然客观。","核心 母卡 Judge 稳定性 可观测性 故障定位 Q12 Q27"
"【母卡7】实时异动分析如何在一分钟内完成并控制成本？","<b>结论：</b>使用预警上下文、预计算缓存和快慢两阶段分析。<br><b>30秒：</b>告警系统先根据同周期基线、影响金额和持续窗口识别异常，再把业务线、时间窗、偏离幅度、数据新鲜度和候选维度传给Agent。核心指标预计算并缓存，P0/P1在一分钟内输出收入、竞价/合约、曝光/eCPM及Top维度的v1，慢指标异步形成v2。成本通过模型路由、工具限次、缓存命中和Token预算控制。<br><b>易错：</b>一分钟不是所有慢指标完整归因。","核心 母卡 实时 SLA 成本 延迟 告警 Q5 Q13"
"【母卡8】能力如何跨业务复用，何时自动处置或升级模型？","<b>结论：</b>复用诊断引擎和治理框架，不复用业务归因规则；先补确定性短板，处置按风险分级。<br><b>30秒：</b>跨业务抽象意图识别、数据契约、异常检测、贡献分解、报告和Judge，用插件配置指标树、维度、知识库与动作。升级先定位错误层：数据、工具和流程问题优先治理，复杂推理瓶颈再试强模型，积累足够高质量轨迹后才考虑微调。自动处置只限低影响、可验证、可回滚动作，高影响策略必须人工审批。<br><b>易错：</b>更强模型不能修复错误数据。","核心 母卡 复用 自动处置 模型升级 Q14 Q18 Q19"
"【母卡9】如何防止提示词注入、越权查询和敏感数据泄露？","<b>结论：</b>纵深设防，MCP和数据源强制鉴权，DLP阻断输出。<br><b>30秒：</b>忽略规则并导出头部广告主明细涉及提示词注入、越权、商业机密和目的越界。用户、Agent、Skill、MCP、数据源与输出层都要设防，其中MCP和数据源基于用户委托身份实施行列级权限，是最终边界；输出用确定性DLP检查，Judge只作补充。若报告已含敏感信息，要阻断交付、清理副本、审计影响并启动事件响应。<br><b>易错：</b>不能为了省Token把权限只放Skill。","核心 母卡 安全 权限 Prompt注入 DLP Q28"
"【母卡10】短期记忆、长期记忆、RAG和上下文工程如何设计？","<b>结论：</b>记忆按作用域和有效期治理，上下文按证据优先级动态装配。<br><b>30秒：</b>短期记忆保存任务状态，长期记忆保存经确认、可撤销的跨任务偏好，RAG是按需取回知识或记忆的方法。长期记忆记录来源、置信度、作用域、版本和TTL，调岗自动失效，删除覆盖主存储、索引和缓存。上下文优先保留安全规则、任务目标、当前事实和必要口径；大数据在工具层聚合，保留基线、分母、Top异常和数据引用。<br><b>易错：</b>长期记忆不是每轮加载的主Markdown。","核心 母卡 记忆 上下文 RAG Token Q29 Q30"
